Crop,Storage_Type,Max_Shelf_Life_Days,Optimal_Temp_C,Optimal_Humidity_%
Banana,Dry Storage,80,9.5,61.8
Sugarcane,Dry Storage,135,19.5,53.5
Apple,Cold Storage,88,10.8,77.3
Chilli,Dry Storage,165,3.1,80.1
Rice,Cold Storage,28,8.6,61.7
Wheat,Dry Storage,130,2.8,92.2
Mango,Ambient,34,2.7,89.0
Wheat,Cold Storage,134,9.8,63.5
Mango,Ambient,35,6.2,74.6
Tomato,Ambient,18,14.5,93.4
Grapes,Cold Storage,50,7.1,46.2
Chilli,Cold Storage,53,3.3,60.1
Sugarcane,Ambient,104,21.8,77.5
Rice,Ambient,41,20.1,60.8
Banana,Ambient,134,12.4,40.9
Banana,Cold Storage,64,17.6,67.9
Rice,Ambient,22,13.0,77.5
Chilli,Dry Storage,158,10.7,55.9
Cotton,Dry Storage,31,13.7,90.8
Maize,Cold Storage,28,22.5,55.7
Sugarcane,Cold Storage,58,20.1,83.0
Apple,Dry Storage,140,11.9,48.7
Apple,Ambient,155,15.2,81.1
Onion,Dry Storage,154,13.3,44.9
Groundnut,Dry Storage,24,5.9,88.0
Sugarcane,Cold Storage,105,23.7,79.8
Groundnut,Dry Storage,137,19.1,49.5
Wheat,Cold Storage,35,4.3,90.4
Apple,Ambient,29,17.2,84.8
Sugarcane,Cold Storage,14,10.1,43.7
Maize,Cold Storage,127,19.2,41.2
Onion,Dry Storage,35,4.9,65.1
Groundnut,Ambient,178,23.8,52.0
Banana,Dry Storage,14,5.6,80.7
Rice,Cold Storage,42,4.9,44.4
Groundnut,Ambient,137,20.9,47.6
Pulses,Dry Storage,109,12.0,94.2
Groundnut,Ambient,31,25.0,87.2
Grapes,Dry Storage,74,11.9,51.0
Potato,Dry Storage,159,18.8,90.5
Groundnut,Ambient,35,19.4,46.5
Apple,Cold Storage,150,6.5,42.3
Apple,Ambient,37,11.0,50.8
Pulses,Dry Storage,97,21.9,63.4
Rice,Ambient,91,15.9,70.0
Mango,Dry Storage,122,24.7,59.6
Chilli,Ambient,80,19.8,59.9
Cotton,Cold Storage,132,2.7,94.2
Pulses,Ambient,66,15.1,74.0
Pulses,Cold Storage,55,23.8,82.1
Apple,Ambient,127,12.3,50.2
Pulses,Cold Storage,57,22.7,90.4
Groundnut,Ambient,27,18.2,81.4
Apple,Dry Storage,87,3.2,87.8
Wheat,Cold Storage,148,7.6,81.9
Cotton,Cold Storage,129,21.6,90.7
Wheat,Ambient,97,24.1,74.5
Pulses,Dry Storage,140,3.8,78.3
Onion,Dry Storage,71,22.8,62.7
Banana,Cold Storage,152,15.9,92.6
Mango,Cold Storage,109,2.7,51.6
Potato,Cold Storage,32,23.6,63.3
Chilli,Dry Storage,61,5.1,90.3
Grapes,Cold Storage,120,19.7,56.1
Banana,Ambient,97,24.0,66.1
Grapes,Dry Storage,92,11.6,86.3
Mango,Cold Storage,81,21.8,66.3
Sugarcane,Cold Storage,64,4.4,89.8
Pulses,Dry Storage,172,19.5,58.3
Sugarcane,Ambient,23,9.7,44.0
Groundnut,Dry Storage,77,18.5,88.7
Cotton,Ambient,124,11.7,67.7
Wheat,Dry Storage,59,17.4,44.6
Maize,Cold Storage,99,11.4,89.7
Potato,Cold Storage,167,16.9,91.9
Groundnut,Dry Storage,124,2.3,84.6
Onion,Ambient,78,20.0,84.3
Apple,Dry Storage,90,12.7,52.8
Chilli,Cold Storage,35,18.5,67.4
Grapes,Cold Storage,101,21.8,47.8
Potato,Ambient,46,13.0,64.0
Maize,Ambient,91,9.6,75.6
Grapes,Dry Storage,51,8.7,84.9
Tomato,Cold Storage,140,7.2,49.4
Pulses,Dry Storage,66,4.4,72.7
Apple,Ambient,40,13.3,40.8
Chilli,Cold Storage,42,15.5,71.3
Groundnut,Ambient,149,14.5,60.7
Cotton,Ambient,179,23.5,73.5
Grapes,Ambient,119,2.9,90.5
Onion,Ambient,152,2.8,58.5
Rice,Dry Storage,14,12.9,65.6
Cotton,Cold Storage,74,23.5,57.5
Potato,Cold Storage,17,5.8,41.8
Pulses,Dry Storage,69,14.1,46.9
Maize,Dry Storage,60,4.7,92.1
Mango,Cold Storage,14,18.0,91.4
Apple,Ambient,156,7.4,57.3
Grapes,Cold Storage,147,24.4,63.4
Mango,Ambient,32,23.3,47.2
Potato,Ambient,148,15.2,40.0
Rice,Cold Storage,78,22.8,44.3
Apple,Cold Storage,76,17.5,40.6
Banana,Dry Storage,175,13.8,53.7
Apple,Ambient,161,23.4,88.0
Grapes,Cold Storage,73,23.2,42.2
Maize,Dry Storage,101,21.8,50.6
Onion,Ambient,83,14.9,83.6
Grapes,Cold Storage,74,15.2,78.9
Grapes,Ambient,179,18.5,61.4
Chilli,Ambient,100,16.3,43.9
Onion,Dry Storage,100,24.4,64.7
Sugarcane,Dry Storage,113,23.8,54.8
Sugarcane,Cold Storage,125,18.1,67.8
Potato,Dry Storage,165,9.7,74.0
Groundnut,Ambient,77,21.1,86.3
Chilli,Ambient,12,9.1,89.3
Cotton,Ambient,152,7.6,66.0
Wheat,Cold Storage,158,13.6,53.0
Grapes,Dry Storage,151,24.4,66.5
Pulses,Dry Storage,20,5.8,75.4
Mango,Cold Storage,72,22.2,88.7
Chilli,Ambient,98,17.1,55.3
Chilli,Cold Storage,28,13.2,73.4
Sugarcane,Ambient,79,8.1,72.9
Wheat,Ambient,8,5.9,72.9
Potato,Ambient,77,16.0,81.4
Grapes,Dry Storage,43,5.2,71.6
Grapes,Ambient,154,13.7,58.3
Apple,Dry Storage,66,8.2,43.2
Tomato,Cold Storage,9,19.5,93.3
Wheat,Dry Storage,65,8.4,63.4
Rice,Dry Storage,177,2.3,42.5
Onion,Cold Storage,33,21.5,64.8
Groundnut,Cold Storage,158,7.8,43.6
Apple,Cold Storage,122,5.4,40.7
Potato,Cold Storage,41,5.3,41.0
Groundnut,Cold Storage,133,2.3,55.8
Tomato,Cold Storage,97,22.4,55.0
Onion,Ambient,131,23.9,72.7
Potato,Dry Storage,56,21.4,42.1
Wheat,Dry Storage,177,14.1,58.0
Mango,Ambient,113,20.6,88.4
Onion,Ambient,74,22.6,88.5
Wheat,Ambient,94,19.7,64.8
Grapes,Cold Storage,151,17.2,47.8
Maize,Dry Storage,73,4.7,52.1
Rice,Cold Storage,140,8.9,65.9
Apple,Dry Storage,73,12.8,52.5
Maize,Cold Storage,130,11.7,65.8
Wheat,Ambient,28,7.7,85.5
Onion,Dry Storage,154,2.2,69.5
Tomato,Ambient,96,19.1,46.4
Mango,Dry Storage,167,17.0,73.2
Sugarcane,Dry Storage,32,12.4,82.9
Chilli,Ambient,44,21.4,64.6
Grapes,Cold Storage,115,4.7,90.4
Pulses,Ambient,7,17.5,90.5
Wheat,Cold Storage,69,18.6,60.6
Pulses,Cold Storage,39,5.1,77.2
Grapes,Dry Storage,99,11.1,94.5
Wheat,Ambient,145,4.3,82.9
Wheat,Dry Storage,179,21.8,64.7
Tomato,Cold Storage,84,14.2,84.7
Potato,Cold Storage,175,20.6,42.1
Potato,Dry Storage,161,20.8,53.4
Mango,Dry Storage,55,24.2,69.7
Maize,Dry Storage,84,17.0,44.0
Sugarcane,Cold Storage,80,11.2,72.8
Maize,Cold Storage,43,5.0,68.8
Rice,Ambient,143,16.6,53.3
Potato,Ambient,132,11.7,70.2
Grapes,Cold Storage,140,12.0,76.8
Grapes,Dry Storage,106,19.3,82.1
Mango,Dry Storage,156,21.3,86.9
Wheat,Cold Storage,105,16.1,41.0
Tomato,Dry Storage,144,15.4,89.6
Wheat,Ambient,78,13.5,44.5
Mango,Dry Storage,179,20.6,76.5
Banana,Dry Storage,117,13.2,70.9
Pulses,Ambient,132,15.0,71.4
Potato,Dry Storage,47,4.4,41.0
Tomato,Dry Storage,119,9.4,58.2
Potato,Cold Storage,33,7.4,85.2
Banana,Ambient,150,7.4,80.1
Mango,Cold Storage,57,6.1,69.5
Rice,Dry Storage,50,18.1,44.3
Pulses,Ambient,77,4.5,94.4
Tomato,Dry Storage,54,5.4,50.2
Potato,Dry Storage,5,24.1,88.0
Groundnut,Ambient,12,15.1,51.7
Apple,Dry Storage,50,7.3,77.6
Groundnut,Dry Storage,116,23.8,82.0
Groundnut,Dry Storage,119,20.5,40.3
Groundnut,Ambient,17,2.6,80.5
Wheat,Ambient,132,14.6,76.8
Onion,Dry Storage,76,19.5,47.2
Sugarcane,Dry Storage,17,3.3,85.2
Onion,Dry Storage,132,8.6,76.2
Maize,Dry Storage,155,22.0,56.3
Sugarcane,Dry Storage,84,13.8,83.6
Apple,Dry Storage,150,6.8,65.7
Maize,Dry Storage,52,9.0,43.3
Wheat,Ambient,101,22.8,63.1
Banana,Dry Storage,167,14.7,82.5
Pulses,Cold Storage,30,20.5,68.9
Apple,Dry Storage,88,22.0,71.0
Chilli,Dry Storage,86,19.2,67.1
Mango,Dry Storage,164,13.4,75.6
Onion,Dry Storage,63,17.1,56.0
Apple,Dry Storage,109,4.9,67.3
Rice,Dry Storage,99,16.6,83.8
Grapes,Cold Storage,149,14.2,52.8
Wheat,Dry Storage,176,13.2,47.3
Grapes,Dry Storage,42,9.3,91.1
Mango,Ambient,35,10.4,50.5
Pulses,Cold Storage,72,10.0,87.4
Sugarcane,Cold Storage,63,16.3,43.7
Chilli,Cold Storage,178,8.2,52.6
Maize,Ambient,13,8.6,47.0
Sugarcane,Ambient,91,4.7,75.3
Groundnut,Ambient,20,3.9,49.6
Rice,Dry Storage,82,19.2,57.2
Sugarcane,Ambient,149,21.8,69.7
Cotton,Cold Storage,121,6.0,42.8
Grapes,Cold Storage,118,9.2,41.1
Onion,Cold Storage,94,15.0,42.1
Pulses,Dry Storage,113,6.1,48.6
Cotton,Ambient,114,21.8,89.1
Onion,Dry Storage,122,16.5,81.6
Cotton,Ambient,38,6.9,79.5
Tomato,Dry Storage,139,3.5,65.4
Maize,Ambient,108,10.9,74.7
Groundnut,Cold Storage,134,7.8,69.2
Grapes,Cold Storage,127,9.6,78.9
Maize,Cold Storage,152,22.1,67.8
Onion,Ambient,112,8.6,72.0
Tomato,Ambient,86,8.3,84.7
Potato,Cold Storage,72,15.0,55.1
Rice,Cold Storage,81,19.5,65.7
Potato,Cold Storage,168,2.4,83.7
Rice,Ambient,119,17.7,88.0
Apple,Cold Storage,25,15.4,83.7
Pulses,Cold Storage,42,5.6,80.0
Wheat,Dry Storage,44,6.8,79.0
Banana,Cold Storage,68,4.0,64.1
Mango,Cold Storage,159,9.3,76.4
Groundnut,Dry Storage,147,24.6,86.3
Wheat,Dry Storage,7,12.7,44.6
Cotton,Dry Storage,17,14.8,51.7
Wheat,Cold Storage,147,11.9,58.6
Mango,Dry Storage,15,19.1,89.4
Chilli,Ambient,38,4.7,47.1
Apple,Cold Storage,17,3.1,55.8
Wheat,Ambient,73,4.1,90.8
Groundnut,Ambient,143,11.1,80.8
Maize,Cold Storage,125,18.2,79.7
Onion,Dry Storage,144,19.3,76.6
Rice,Ambient,8,19.8,69.0
Sugarcane,Dry Storage,170,24.2,47.1
Chilli,Cold Storage,83,16.3,43.3
Maize,Dry Storage,29,20.5,47.6
Potato,Dry Storage,125,8.4,73.4
Sugarcane,Cold Storage,7,5.2,41.1
Banana,Cold Storage,71,19.0,90.9
Grapes,Dry Storage,136,23.1,73.3
Sugarcane,Cold Storage,16,20.8,64.1
Sugarcane,Dry Storage,42,15.9,49.9
Rice,Cold Storage,58,7.4,56.7
Grapes,Cold Storage,143,21.0,50.1
Wheat,Ambient,52,2.8,50.1
Potato,Dry Storage,38,15.7,72.0
Grapes,Ambient,78,3.0,90.4
Onion,Ambient,174,15.7,50.9
Wheat,Ambient,150,7.0,67.2
Chilli,Ambient,143,6.9,62.2
Chilli,Ambient,164,20.6,78.9
Maize,Ambient,56,2.0,63.7
Banana,Cold Storage,137,16.4,60.7
Maize,Dry Storage,98,24.1,69.8
Banana,Dry Storage,12,2.9,45.1
Grapes,Cold Storage,171,14.1,73.3
Pulses,Cold Storage,6,8.4,94.6
Maize,Dry Storage,166,21.2,85.5
Chilli,Ambient,177,22.7,89.7
Cotton,Cold Storage,161,17.0,51.4
Pulses,Ambient,75,12.4,51.7
Maize,Ambient,107,11.5,92.6
Onion,Cold Storage,163,7.5,74.9
Chilli,Dry Storage,19,17.5,68.0
Onion,Ambient,154,18.2,52.7
Cotton,Ambient,171,8.0,60.6
Tomato,Cold Storage,173,23.0,45.8
Pulses,Ambient,125,8.1,89.6
Tomato,Ambient,33,8.0,63.9
Potato,Dry Storage,147,3.9,59.0
Apple,Ambient,29,19.5,68.9
Cotton,Dry Storage,149,18.5,79.8
Sugarcane,Cold Storage,55,18.1,56.3
Rice,Ambient,168,6.6,73.0
Chilli,Ambient,127,21.6,55.9
Wheat,Cold Storage,133,3.7,58.0
Grapes,Ambient,119,9.7,43.9
Apple,Cold Storage,52,16.8,62.5
Maize,Ambient,157,5.4,72.0
Chilli,Cold Storage,46,21.8,94.6
Chilli,Cold Storage,73,15.7,90.2
Groundnut,Ambient,152,21.0,42.3
Sugarcane,Dry Storage,151,22.7,58.6
Mango,Ambient,6,4.7,50.2
Apple,Cold Storage,21,6.1,50.8
Sugarcane,Ambient,175,2.8,42.5
Banana,Dry Storage,25,12.4,53.9
Banana,Dry Storage,80,17.1,59.8
Maize,Dry Storage,121,2.4,80.6
Maize,Cold Storage,40,14.0,42.3
Apple,Cold Storage,86,19.9,81.1
Grapes,Ambient,20,4.8,91.7
Pulses,Cold Storage,155,9.0,78.4
Apple,Dry Storage,141,24.0,55.0
Tomato,Dry Storage,93,10.2,90.0
Cotton,Cold Storage,109,21.4,63.3
Grapes,Dry Storage,54,18.5,87.4
Pulses,Ambient,77,8.2,41.9
Cotton,Cold Storage,121,23.9,74.4
Grapes,Ambient,14,4.2,50.5
Banana,Cold Storage,145,10.6,55.4
Chilli,Ambient,123,13.2,45.6
Apple,Dry Storage,148,5.7,89.9
Banana,Cold Storage,83,20.3,90.0
Groundnut,Dry Storage,112,13.4,83.2
Cotton,Dry Storage,6,18.5,62.9
Rice,Dry Storage,26,21.1,71.2
Rice,Dry Storage,23,12.3,79.6
Wheat,Dry Storage,89,9.8,54.5
Cotton,Dry Storage,62,14.5,41.2
Groundnut,Dry Storage,106,6.0,84.5
Pulses,Ambient,141,10.8,44.6
Maize,Dry Storage,118,4.1,68.6
Sugarcane,Ambient,17,14.1,84.5
Pulses,Dry Storage,53,5.4,47.1
Potato,Cold Storage,143,6.0,70.4
Maize,Ambient,59,5.9,83.0
Groundnut,Dry Storage,161,20.4,51.4
Cotton,Dry Storage,177,14.8,69.1
Onion,Ambient,140,10.2,70.1
Cotton,Cold Storage,109,20.4,87.4
Groundnut,Dry Storage,78,4.6,69.7
Potato,Dry Storage,97,3.7,94.9
Cotton,Ambient,92,17.2,65.8
Pulses,Cold Storage,14,10.5,79.2
Groundnut,Ambient,99,8.8,60.3
Maize,Ambient,174,3.6,68.8
Sugarcane,Ambient,70,4.2,89.5
Wheat,Ambient,26,17.1,71.6
Rice,Ambient,57,12.6,48.3
Groundnut,Ambient,91,20.2,44.9
Tomato,Cold Storage,11,18.0,65.0
Sugarcane,Ambient,38,8.3,46.2
Banana,Dry Storage,65,18.7,61.6
Onion,Cold Storage,12,9.1,64.8
Maize,Ambient,166,12.4,69.4
Banana,Cold Storage,46,5.3,71.6
Chilli,Dry Storage,123,19.8,84.4
Pulses,Dry Storage,14,24.5,86.7
Groundnut,Cold Storage,120,3.0,54.1
Sugarcane,Dry Storage,163,7.9,48.6
Pulses,Dry Storage,69,9.6,91.4
Cotton,Cold Storage,172,8.7,44.2
Banana,Ambient,126,17.4,44.9
Cotton,Ambient,151,6.9,49.1
Groundnut,Cold Storage,132,11.9,56.0
Mango,Dry Storage,69,13.7,70.9
Banana,Cold Storage,149,9.6,69.9
Onion,Dry Storage,96,15.9,63.5
Banana,Cold Storage,57,24.0,80.8
Pulses,Dry Storage,20,2.1,55.5
Chilli,Ambient,40,9.7,49.5
Groundnut,Cold Storage,73,5.2,46.8
Cotton,Dry Storage,172,11.7,45.8
Chilli,Cold Storage,151,16.7,57.4
Onion,Ambient,72,23.0,71.3
Sugarcane,Ambient,41,14.4,80.8
Grapes,Ambient,134,18.9,56.3
Sugarcane,Ambient,78,20.1,86.4
Cotton,Cold Storage,29,24.1,86.8
Chilli,Cold Storage,131,18.3,72.5
Chilli,Ambient,104,21.4,80.5
Potato,Dry Storage,44,15.2,91.4
Maize,Dry Storage,139,15.5,90.5
Onion,Cold Storage,58,19.5,65.7
Onion,Ambient,71,20.9,79.0
Onion,Cold Storage,93,4.3,48.3
Wheat,Cold Storage,47,12.1,67.8
Rice,Cold Storage,117,17.2,91.0
Cotton,Cold Storage,28,21.7,80.4
Maize,Dry Storage,134,6.2,79.6
Grapes,Dry Storage,64,22.0,62.7
Sugarcane,Ambient,117,11.6,81.7
Onion,Ambient,75,11.9,50.0
Banana,Dry Storage,25,21.7,72.5
Tomato,Cold Storage,113,12.5,59.2
Rice,Cold Storage,33,5.6,59.5
Chilli,Dry Storage,16,12.9,73.2
Groundnut,Ambient,157,21.0,84.0
Maize,Dry Storage,102,5.3,93.2
Pulses,Cold Storage,71,5.6,54.0
Groundnut,Cold Storage,171,3.9,89.6
Mango,Dry Storage,117,13.1,41.6
Apple,Ambient,113,19.5,84.9
Cotton,Dry Storage,178,8.1,53.6
Pulses,Ambient,58,9.6,66.3
Sugarcane,Ambient,161,5.0,84.5
Apple,Dry Storage,157,22.7,66.6
Cotton,Cold Storage,100,15.6,85.1
Rice,Ambient,8,22.3,85.7
Tomato,Cold Storage,159,4.9,70.9
Mango,Dry Storage,168,11.6,89.7
Onion,Cold Storage,149,4.7,80.2
Sugarcane,Dry Storage,169,10.3,83.5
Tomato,Cold Storage,14,19.0,67.0
Banana,Cold Storage,175,17.1,43.5
Onion,Dry Storage,49,18.3,91.1
Wheat,Cold Storage,24,20.3,62.7
Potato,Dry Storage,92,17.7,52.4
Banana,Ambient,46,23.0,60.1
Rice,Ambient,177,20.9,65.4
Rice,Cold Storage,60,3.8,59.4
Grapes,Ambient,55,11.4,42.7
Pulses,Ambient,92,18.8,65.5
Chilli,Ambient,25,6.1,45.3
Chilli,Cold Storage,82,18.0,64.9
Potato,Ambient,5,23.4,67.4
Sugarcane,Dry Storage,71,14.8,76.2
Onion,Dry Storage,70,22.9,66.7
Potato,Dry Storage,59,3.8,90.7
Groundnut,Cold Storage,37,3.7,85.7
Mango,Dry Storage,29,23.4,49.0
Apple,Dry Storage,40,22.8,60.5
Rice,Dry Storage,96,3.0,95.0
Banana,Dry Storage,154,5.1,93.0
Pulses,Dry Storage,90,2.6,79.8
Onion,Ambient,169,9.4,81.3
Banana,Dry Storage,58,20.9,69.0
Wheat,Ambient,144,11.8,66.6
Apple,Ambient,96,2.2,89.3
Cotton,Dry Storage,167,8.9,54.3
Sugarcane,Cold Storage,140,6.6,54.6
Sugarcane,Cold Storage,9,5.0,45.6
Tomato,Cold Storage,73,14.0,84.8
Cotton,Cold Storage,76,22.1,61.4
Grapes,Cold Storage,115,8.1,79.6
Groundnut,Dry Storage,95,10.1,84.9
Banana,Cold Storage,37,8.1,69.0
Wheat,Ambient,128,14.1,89.6
Sugarcane,Cold Storage,100,6.1,72.9
Onion,Dry Storage,24,24.8,81.5
Pulses,Ambient,139,10.4,68.8
Mango,Cold Storage,10,4.2,45.9
Onion,Dry Storage,39,6.4,53.9
Chilli,Dry Storage,17,3.3,48.8
Rice,Dry Storage,160,7.4,66.4
Onion,Dry Storage,24,12.9,61.9
Onion,Dry Storage,23,6.5,83.6
Maize,Cold Storage,84,20.4,84.4
Onion,Dry Storage,90,3.4,64.0
Rice,Dry Storage,169,21.8,64.1
Wheat,Ambient,13,16.6,80.5
Cotton,Ambient,71,20.8,49.5
Groundnut,Dry Storage,64,12.9,81.2
Sugarcane,Cold Storage,70,4.7,74.1
Rice,Dry Storage,133,2.0,58.4
Sugarcane,Dry Storage,89,16.0,93.9
Tomato,Cold Storage,174,7.2,86.9
Mango,Ambient,142,20.3,89.3
Pulses,Cold Storage,137,12.9,54.0
Potato,Dry Storage,102,11.0,70.3
Mango,Ambient,139,17.0,56.2
Groundnut,Cold Storage,19,2.9,68.9
Chilli,Dry Storage,126,5.7,69.9
Mango,Cold Storage,108,14.0,68.5
Tomato,Dry Storage,75,6.7,47.8
Pulses,Ambient,38,5.6,87.3
Onion,Dry Storage,116,14.7,69.8
Chilli,Ambient,100,20.4,59.5
Rice,Dry Storage,151,20.6,77.9
Wheat,Dry Storage,165,7.0,42.6
Wheat,Cold Storage,103,13.7,76.3
Grapes,Ambient,153,3.6,62.7
Sugarcane,Ambient,52,5.6,66.3
Maize,Dry Storage,63,8.2,75.6
Groundnut,Dry Storage,29,22.5,41.8
Onion,Dry Storage,38,18.2,92.3
Chilli,Cold Storage,135,13.4,70.8
Wheat,Cold Storage,86,14.0,47.1
Onion,Cold Storage,31,6.1,42.7
Wheat,Ambient,7,13.5,62.7
Onion,Dry Storage,105,16.3,41.6
Pulses,Dry Storage,21,18.7,46.8
Apple,Cold Storage,172,24.7,84.1
Maize,Dry Storage,140,4.1,90.5
Sugarcane,Dry Storage,93,4.6,83.3
Wheat,Ambient,102,21.1,58.3
Mango,Dry Storage,68,7.8,47.4
Sugarcane,Dry Storage,86,4.9,73.5
Apple,Ambient,67,20.7,60.3
Cotton,Ambient,112,4.3,52.8
Tomato,Dry Storage,157,3.6,72.2
Banana,Dry Storage,83,13.9,53.0
Onion,Dry Storage,34,11.6,57.7
Potato,Cold Storage,121,8.9,59.9
Onion,Ambient,9,15.7,89.6
Maize,Ambient,52,17.8,43.1
Sugarcane,Cold Storage,68,20.8,82.8
Mango,Dry Storage,174,23.9,85.5
Maize,Dry Storage,142,22.8,63.8
Grapes,Cold Storage,123,12.6,46.4
Rice,Cold Storage,77,2.7,57.2
Maize,Ambient,76,17.0,90.7
Pulses,Dry Storage,125,22.0,56.2
Apple,Ambient,11,20.1,49.8
Mango,Dry Storage,99,9.2,93.8
Pulses,Dry Storage,144,22.3,54.7
Tomato,Cold Storage,115,20.5,52.7
Chilli,Ambient,154,22.0,94.6
Onion,Cold Storage,86,6.0,77.2
Maize,Ambient,25,9.9,47.8
Maize,Dry Storage,103,15.6,88.1
Chilli,Ambient,126,22.1,45.3
Banana,Cold Storage,30,4.3,69.0
Pulses,Dry Storage,44,9.6,76.6
Sugarcane,Dry Storage,136,17.6,86.5
Chilli,Cold Storage,8,6.4,86.7
Banana,Cold Storage,48,17.5,58.2
Maize,Dry Storage,162,12.8,61.4
Banana,Cold Storage,99,12.7,93.5
Rice,Ambient,135,2.9,75.3
Rice,Dry Storage,142,13.1,63.9
Mango,Dry Storage,44,10.3,48.3
Tomato,Cold Storage,139,13.4,78.3
Wheat,Ambient,74,18.3,53.2
Grapes,Ambient,167,21.3,69.9
Mango,Ambient,31,6.7,44.7
Chilli,Cold Storage,56,16.3,77.0
Potato,Cold Storage,20,19.5,69.6
Onion,Dry Storage,66,14.1,67.3
Chilli,Cold Storage,169,24.8,44.0
Cotton,Cold Storage,149,22.9,78.3
Groundnut,Dry Storage,109,7.8,47.6
Wheat,Ambient,76,8.9,87.5
Grapes,Ambient,19,16.2,72.7
Sugarcane,Cold Storage,57,6.3,80.2
Chilli,Cold Storage,46,10.7,64.9
Apple,Cold Storage,12,3.1,50.4
Chilli,Cold Storage,158,20.4,63.7
Banana,Ambient,48,12.9,46.0
Sugarcane,Cold Storage,118,12.4,62.7
Rice,Cold Storage,28,6.6,59.7
Tomato,Ambient,65,14.8,82.3
Pulses,Ambient,6,23.3,94.3
Groundnut,Dry Storage,134,21.8,88.4
Onion,Cold Storage,114,2.3,42.9
Groundnut,Dry Storage,144,19.6,80.8
Wheat,Dry Storage,165,6.7,58.7
Rice,Dry Storage,74,10.3,76.4
Banana,Dry Storage,81,10.7,78.0
Banana,Dry Storage,179,24.0,73.5
Rice,Cold Storage,151,12.3,78.0
Rice,Ambient,116,23.9,47.9
Pulses,Dry Storage,24,11.3,47.3
Chilli,Cold Storage,120,6.8,78.3
Rice,Cold Storage,125,12.6,78.5
Tomato,Dry Storage,46,21.3,42.7
Apple,Ambient,133,20.1,57.2
Chilli,Cold Storage,54,15.4,75.5
Pulses,Dry Storage,81,14.8,45.0
Grapes,Dry Storage,32,12.7,45.3
Onion,Ambient,177,9.1,64.6
Sugarcane,Ambient,87,7.1,45.0
Groundnut,Ambient,164,14.2,91.3
Groundnut,Cold Storage,5,5.4,43.7
Pulses,Dry Storage,85,8.0,49.6
Rice,Ambient,112,10.1,59.4
Grapes,Dry Storage,138,22.6,83.5
Wheat,Dry Storage,41,24.7,68.4
Mango,Cold Storage,127,18.0,80.9
Mango,Cold Storage,88,11.1,59.4
Banana,Dry Storage,72,24.9,43.1
Sugarcane,Ambient,78,13.3,91.2
Grapes,Ambient,146,23.2,94.1
Pulses,Cold Storage,144,10.9,78.5
Mango,Ambient,44,10.4,45.2
Maize,Cold Storage,96,23.6,80.4
Wheat,Dry Storage,74,8.8,59.3
Sugarcane,Cold Storage,122,7.2,45.5
Chilli,Cold Storage,28,4.0,67.5
Groundnut,Cold Storage,100,19.2,67.2
Chilli,Dry Storage,165,24.0,86.4
Chilli,Dry Storage,65,3.4,74.8
Rice,Ambient,53,15.5,80.6
Rice,Dry Storage,51,22.9,76.0
Mango,Ambient,21,17.1,50.6
Cotton,Ambient,91,8.7,56.2
Wheat,Cold Storage,165,11.8,41.4
Pulses,Ambient,16,6.5,68.1
Banana,Cold Storage,97,7.6,65.2
Potato,Ambient,177,2.9,46.3
Grapes,Dry Storage,37,8.4,52.0
Sugarcane,Cold Storage,81,21.1,78.9
Pulses,Ambient,159,25.0,77.1
Tomato,Ambient,132,15.2,70.1
Maize,Cold Storage,83,16.7,86.0
Cotton,Dry Storage,62,24.4,49.6
Wheat,Dry Storage,20,25.0,63.5
Onion,Cold Storage,33,2.2,73.9
Tomato,Dry Storage,153,23.6,59.7
Cotton,Cold Storage,37,2.6,88.9
Onion,Ambient,179,24.2,58.1
Grapes,Ambient,101,24.8,66.6
Cotton,Ambient,109,14.2,68.6
Maize,Dry Storage,82,13.3,91.0
Tomato,Dry Storage,8,13.2,94.1
Mango,Cold Storage,17,18.8,40.0
Rice,Cold Storage,150,18.6,54.6
Pulses,Dry Storage,47,15.9,48.2
Pulses,Dry Storage,45,16.2,85.8
Potato,Cold Storage,18,10.0,66.9
Maize,Dry Storage,128,4.2,78.1
Onion,Ambient,122,2.2,72.6
Wheat,Dry Storage,106,10.0,92.7
Pulses,Ambient,5,8.2,56.2
Wheat,Ambient,77,8.5,82.0
Maize,Ambient,109,7.2,66.5
Rice,Cold Storage,55,23.5,81.9
Wheat,Ambient,146,7.3,71.3
Banana,Dry Storage,48,13.4,86.9
Pulses,Cold Storage,45,3.1,67.0
Groundnut,Ambient,85,21.1,62.0
Apple,Cold Storage,96,8.2,43.6
Pulses,Dry Storage,164,15.4,43.0
Maize,Cold Storage,74,13.9,64.0
Grapes,Dry Storage,164,22.9,54.8
Tomato,Dry Storage,161,11.0,83.8
Wheat,Dry Storage,178,9.7,67.4
Wheat,Ambient,19,8.1,87.7
Mango,Dry Storage,121,3.1,57.3
Pulses,Dry Storage,161,17.3,93.6
Chilli,Cold Storage,68,16.7,87.2
Wheat,Dry Storage,18,12.9,68.2
Chilli,Ambient,77,9.1,52.8
Groundnut,Ambient,126,4.5,41.4
Onion,Ambient,47,13.4,41.4
Wheat,Dry Storage,17,9.5,45.8
Grapes,Dry Storage,138,16.5,56.4
Sugarcane,Ambient,26,3.0,41.9
Onion,Cold Storage,59,16.2,92.2
Wheat,Ambient,86,7.0,69.0
Tomato,Cold Storage,91,15.9,50.1
Banana,Ambient,38,4.1,80.7
