Crop,Season,Max_Shelf_Life_Days,Optimal_Temp_C,Optimal_Humidity_%
grapes,Kharif,18,11.4,89.7
cauliflower,Rabi,14,15.4,80.3
brinjal,Rabi,19,16.5,62.2
sugarcane,Rabi,6,17.2,84.6
banana,Zaid,7,22.3,72.2
potato,Zaid,77,12.5,75.8
cauliflower,Rabi,17,22.8,83.8
onion,Kharif,136,24.5,56.3
chilli,Zaid,37,14.4,74.2
apple,Rabi,160,17.5,69.8
orange,Rabi,45,13.5,79.1
apple,Zaid,146,22.8,71.2
wheat,Rabi,257,13.9,88.9
onion,Kharif,146,19.3,81.5
banana,Rabi,7,20.0,68.3
rice,Kharif,130,13.9,65.7
pulses,Kharif,258,17.7,82.0
groundnut,Zaid,115,24.0,83.0
sugarcane,Zaid,4,10.4,60.3
apple,Zaid,139,23.8,59.7
maize,Rabi,155,21.5,65.2
maize,Kharif,111,16.2,62.1
cabbage,Rabi,17,20.2,61.6
groundnut,Rabi,235,15.5,78.2
soybean,Rabi,152,22.6,64.8
chilli,Zaid,22,19.9,74.2
tomato,Rabi,5,8.6,71.2
chilli,Zaid,32,23.0,69.1
cauliflower,Rabi,19,10.1,88.5
sugarcane,Zaid,5,12.6,69.9
maize,Rabi,112,13.0,63.5
sugarcane,Kharif,2,8.0,80.6
grapes,Kharif,6,23.9,70.2
wheat,Rabi,315,22.7,62.7
wheat,Kharif,269,14.8,73.1
orange,Zaid,62,16.7,72.7
groundnut,Kharif,200,18.3,62.7
cotton,Kharif,397,24.1,70.6
wheat,Zaid,255,8.6,75.2
cabbage,Zaid,26,21.4,63.1
sugarcane,Kharif,5,10.3,80.1
chilli,Rabi,30,16.6,87.0
orange,Zaid,64,18.8,77.5
pulses,Rabi,251,20.5,75.8
soybean,Kharif,102,13.6,86.2
pulses,Zaid,189,8.7,56.3
cabbage,Zaid,20,24.6,60.4
chilli,Kharif,28,22.9,80.5
cotton,Rabi,555,13.9,89.1
cabbage,Kharif,14,9.0,56.1
cabbage,Zaid,27,12.1,73.6
groundnut,Rabi,109,18.1,74.3
rice,Kharif,244,8.2,85.8
chilli,Rabi,40,24.9,65.9
sugarcane,Zaid,5,22.3,60.3
onion,Rabi,148,8.0,82.7
maize,Kharif,212,9.0,89.8
apple,Rabi,74,22.8,79.2
tomato,Kharif,10,21.5,76.3
pulses,Kharif,260,17.9,69.0
onion,Kharif,158,14.1,88.9
rice,Rabi,287,19.6,64.5
apple,Zaid,71,9.8,80.1
chilli,Kharif,36,8.2,80.6
cabbage,Rabi,16,9.5,76.9
onion,Rabi,136,19.0,68.7
brinjal,Kharif,10,8.3,81.6
cauliflower,Rabi,22,21.4,69.5
potato,Rabi,110,8.9,85.7
onion,Zaid,124,12.5,81.5
cabbage,Rabi,25,23.9,64.9
apple,Rabi,179,14.3,70.6
cauliflower,Kharif,14,22.7,88.0
pulses,Rabi,324,11.3,73.4
grapes,Kharif,12,13.7,83.9
rice,Rabi,194,10.5,84.6
orange,Kharif,73,21.2,56.5
rice,Zaid,153,13.3,69.6
grapes,Zaid,18,12.4,68.0
grapes,Kharif,18,9.0,71.2
brinjal,Rabi,20,21.6,80.9
maize,Zaid,195,15.6,71.7
sugarcane,Rabi,2,17.7,75.6
onion,Rabi,117,17.0,74.3
chilli,Rabi,26,21.7,64.7
sugarcane,Zaid,6,17.4,70.4
maize,Rabi,209,21.8,82.9
chilli,Rabi,36,9.9,73.7
groundnut,Rabi,214,9.8,64.1
sugarcane,Kharif,2,8.8,88.4
mango,Zaid,17,17.1,67.1
pulses,Rabi,326,9.0,62.3
brinjal,Zaid,9,21.0,87.2
rice,Rabi,265,22.3,60.7
cotton,Rabi,301,14.1,70.8
cauliflower,Rabi,20,15.0,62.4
tomato,Rabi,11,8.5,77.2
rice,Kharif,175,16.2,55.1
banana,Zaid,7,22.9,70.8
sugarcane,Rabi,2,18.0,57.2
groundnut,Zaid,226,10.2,58.1
cabbage,Zaid,23,14.3,57.4
sugarcane,Rabi,7,13.8,69.9
soybean,Kharif,91,18.2,85.1
onion,Rabi,121,10.5,63.5
soybean,Kharif,98,18.3,82.6
cabbage,Zaid,27,12.7,75.4
wheat,Zaid,183,18.3,66.1
cotton,Rabi,301,18.8,78.2
grapes,Zaid,13,12.3,55.5
chilli,Zaid,30,9.3,89.7
mango,Zaid,15,14.5,59.7
potato,Rabi,69,16.9,70.8
apple,Zaid,131,17.1,77.4
wheat,Rabi,162,11.9,60.9
tomato,Kharif,4,11.7,88.4
cotton,Rabi,580,9.8,67.5
tomato,Kharif,4,23.2,58.5
banana,Rabi,7,20.6,58.5
potato,Zaid,58,19.3,69.2
potato,Kharif,97,24.9,85.2
groundnut,Rabi,189,10.2,70.3
mango,Zaid,15,18.1,64.8
sugarcane,Rabi,6,15.3,61.4
rice,Zaid,278,17.2,57.4
cotton,Rabi,466,17.7,73.8
sugarcane,Kharif,4,13.0,56.2
wheat,Rabi,256,10.0,68.7
onion,Rabi,145,22.2,55.0
onion,Rabi,147,19.9,61.1
brinjal,Rabi,6,22.4,74.5
groundnut,Zaid,118,17.2,72.8
onion,Rabi,155,17.6,80.0
brinjal,Kharif,6,16.5,59.1
maize,Zaid,165,13.8,58.6
mango,Zaid,12,23.0,63.1
cauliflower,Zaid,20,23.2,87.9
banana,Kharif,7,9.8,59.6
rice,Zaid,235,24.6,59.0
maize,Zaid,122,16.7,66.8
maize,Rabi,116,19.0,75.9
potato,Zaid,99,13.3,68.5
onion,Rabi,166,20.7,83.8
sugarcane,Zaid,2,19.2,69.2
sugarcane,Zaid,6,19.4,78.5
rice,Zaid,196,18.9,57.2
wheat,Zaid,271,12.2,77.2
orange,Zaid,58,19.2,75.4
cabbage,Zaid,25,13.4,58.1
rice,Zaid,258,19.6,61.8
potato,Kharif,85,21.7,61.3
banana,Zaid,7,13.7,82.2
wheat,Zaid,173,15.5,58.2
cotton,Kharif,471,18.0,82.7
soybean,Zaid,98,18.4,82.5
banana,Rabi,7,16.6,76.6
cauliflower,Rabi,11,17.4,79.9
soybean,Rabi,154,14.8,63.3
mango,Zaid,16,19.3,86.5
groundnut,Kharif,193,11.9,75.9
cabbage,Kharif,14,21.4,65.4
cauliflower,Kharif,22,19.4,87.2
tomato,Kharif,5,12.5,56.0
onion,Zaid,147,13.5,81.9
tomato,Kharif,8,13.0,74.7
banana,Rabi,7,23.3,79.2
onion,Kharif,118,14.9,87.1
tomato,Zaid,11,12.0,71.1
cabbage,Kharif,20,17.3,66.7
grapes,Zaid,17,14.4,84.8
cotton,Rabi,439,21.4,60.7
sugarcane,Zaid,3,23.3,80.5
sugarcane,Kharif,2,23.1,86.9
banana,Rabi,7,14.3,78.6
grapes,Kharif,13,12.6,67.5
cotton,Rabi,494,20.4,82.5
cauliflower,Zaid,21,23.2,74.1
pulses,Rabi,260,14.3,78.6
brinjal,Zaid,12,23.9,60.5
pulses,Kharif,205,17.3,76.5
chilli,Zaid,29,13.7,80.2
cabbage,Rabi,16,13.4,87.0
cabbage,Kharif,17,13.5,62.9
brinjal,Rabi,10,10.5,80.1
wheat,Kharif,171,14.8,70.5
maize,Kharif,151,8.2,87.8
mango,Zaid,22,15.3,72.6
banana,Zaid,7,8.8,66.5
wheat,Rabi,316,10.2,61.2
grapes,Kharif,6,15.3,64.9
sugarcane,Kharif,5,22.6,87.8
orange,Rabi,42,18.2,59.5
tomato,Kharif,10,20.5,75.4
onion,Zaid,103,18.6,67.2
orange,Kharif,43,24.0,70.9
banana,Rabi,7,12.5,63.4
banana,Kharif,7,10.2,62.8
apple,Rabi,135,13.4,79.1
pulses,Kharif,150,16.0,79.9
wheat,Zaid,231,21.1,68.2
orange,Rabi,56,11.0,63.9
banana,Rabi,7,9.2,74.4
rice,Kharif,263,15.2,87.3
cabbage,Rabi,27,15.5,65.0
soybean,Zaid,162,17.3,76.8
cabbage,Rabi,24,19.0,82.6
mango,Zaid,19,9.9,81.7
maize,Zaid,145,14.5,68.1
rice,Rabi,179,22.6,86.7
maize,Kharif,146,9.4,68.5
apple,Kharif,90,20.8,83.8
tomato,Zaid,8,14.5,70.0
rice,Zaid,134,22.1,59.0
brinjal,Zaid,16,20.1,88.8
mango,Zaid,16,8.2,59.0
cauliflower,Zaid,20,19.4,86.8
sugarcane,Rabi,7,15.6,71.8
brinjal,Kharif,10,18.5,68.7
banana,Zaid,7,14.9,63.1
tomato,Rabi,10,20.2,77.7
mango,Zaid,22,18.6,67.0
sugarcane,Kharif,5,24.8,63.1
groundnut,Kharif,125,13.2,60.3
rice,Zaid,230,17.1,75.7
maize,Rabi,187,9.4,73.9
cauliflower,Rabi,12,13.1,76.7
mango,Zaid,18,22.7,81.7
wheat,Zaid,253,14.5,70.1
potato,Rabi,84,8.3,61.1
rice,Kharif,186,8.8,86.4
cotton,Rabi,336,14.0,62.6
grapes,Rabi,16,8.4,58.9
grapes,Zaid,19,21.7,65.0
cabbage,Zaid,16,11.9,57.0
apple,Zaid,88,11.6,56.7
sugarcane,Rabi,4,19.0,76.7
grapes,Zaid,6,10.8,89.8
tomato,Kharif,4,14.6,80.7
onion,Zaid,81,10.9,72.3
onion,Rabi,151,23.6,69.4
groundnut,Zaid,129,19.8,58.3
orange,Kharif,51,13.5,78.7
onion,Zaid,162,22.0,84.2
grapes,Rabi,12,8.9,87.7
sugarcane,Kharif,5,14.9,81.9
pulses,Kharif,324,20.2,55.7
groundnut,Rabi,175,11.0,75.6
rice,Rabi,168,21.6,74.8
brinjal,Zaid,19,23.0,76.4
soybean,Zaid,163,15.2,78.6
brinjal,Kharif,6,15.9,81.7
banana,Rabi,7,20.4,66.6
cauliflower,Rabi,13,15.7,81.6
groundnut,Kharif,150,24.7,78.4
onion,Rabi,120,8.5,88.3
groundnut,Rabi,109,22.7,60.7
sugarcane,Rabi,6,13.5,71.3
apple,Zaid,134,24.7,57.1
cauliflower,Kharif,22,10.1,86.6
wheat,Rabi,170,23.6,64.8
cotton,Zaid,459,9.0,60.4
brinjal,Rabi,20,8.7,55.5
groundnut,Kharif,126,8.7,76.1
cotton,Zaid,323,18.8,79.7
onion,Zaid,95,18.3,89.5
chilli,Kharif,35,10.3,66.9
potato,Kharif,103,12.3,89.9
tomato,Rabi,6,24.5,87.8
cauliflower,Rabi,21,12.7,89.9
cauliflower,Kharif,16,9.1,81.0
grapes,Kharif,11,10.7,67.7
groundnut,Kharif,189,9.8,66.4
soybean,Kharif,152,8.7,86.3
cabbage,Rabi,26,9.0,63.5
soybean,Rabi,110,10.7,85.7
brinjal,Zaid,9,18.4,59.5
brinjal,Rabi,9,9.3,57.2
groundnut,Kharif,148,10.9,66.6
banana,Zaid,7,22.3,75.7
orange,Zaid,43,21.0,65.2
banana,Zaid,7,22.5,71.3
maize,Rabi,162,11.6,65.7
groundnut,Zaid,122,21.3,83.5
groundnut,Rabi,217,8.6,77.0
onion,Rabi,144,20.7,76.6
banana,Zaid,7,19.6,77.0
banana,Rabi,7,9.5,86.7
apple,Zaid,125,9.8,57.1
orange,Rabi,80,24.5,70.9
soybean,Zaid,124,21.2,81.5
orange,Rabi,64,17.6,71.9
rice,Rabi,176,13.8,59.5
banana,Zaid,7,18.6,82.9
groundnut,Kharif,216,17.0,71.5
apple,Rabi,68,14.9,77.5
maize,Kharif,215,16.3,56.3
cotton,Kharif,296,9.3,79.8
soybean,Zaid,111,20.5,83.1
maize,Rabi,185,16.0,59.9
wheat,Rabi,261,18.9,72.5
mango,Zaid,21,15.9,64.9
cabbage,Zaid,15,12.0,83.0
pulses,Zaid,294,8.8,65.1
grapes,Kharif,16,13.0,87.0
cotton,Zaid,569,11.4,59.5
sugarcane,Zaid,4,17.6,72.5
mango,Zaid,16,22.3,57.2
maize,Zaid,221,22.8,72.4
maize,Rabi,168,16.0,62.0
apple,Zaid,94,8.5,79.6
cotton,Kharif,401,19.6,85.7
cauliflower,Rabi,21,16.7,70.6
maize,Kharif,158,15.8,77.3
brinjal,Kharif,5,12.3,86.0
soybean,Rabi,114,21.0,64.3
tomato,Rabi,4,10.8,89.6
cabbage,Kharif,13,24.7,80.7
onion,Kharif,148,8.3,87.1
rice,Kharif,250,16.5,78.8
orange,Rabi,35,11.7,87.5
soybean,Rabi,148,8.0,62.7
mango,Zaid,22,11.7,76.4
maize,Rabi,212,10.4,72.6
onion,Zaid,141,17.9,66.6
cabbage,Zaid,25,12.6,72.8
pulses,Rabi,259,13.6,83.4
brinjal,Rabi,17,15.5,76.9
cauliflower,Rabi,16,23.4,64.4
sugarcane,Zaid,4,12.8,68.5
cauliflower,Kharif,18,13.5,67.5
wheat,Rabi,285,11.3,87.8
cotton,Rabi,458,15.6,86.2
mango,Zaid,10,9.3,89.6
chilli,Rabi,25,15.7,73.7
rice,Zaid,157,15.6,86.6
brinjal,Kharif,15,14.6,88.0
orange,Rabi,68,24.0,55.5
grapes,Rabi,7,10.3,79.2
apple,Zaid,94,8.7,58.8
orange,Zaid,45,8.8,62.5
tomato,Rabi,6,14.4,55.2
maize,Rabi,168,23.1,77.3
grapes,Kharif,18,16.4,84.1
grapes,Rabi,8,8.4,71.4
soybean,Zaid,144,20.7,82.6
groundnut,Rabi,120,10.7,68.0
groundnut,Rabi,160,24.3,86.1
sugarcane,Rabi,2,10.9,66.1
onion,Zaid,96,9.9,68.9
chilli,Zaid,35,24.2,69.1
rice,Rabi,170,20.5,83.2
wheat,Zaid,183,14.5,73.6
banana,Rabi,7,15.8,77.2
potato,Zaid,63,15.3,82.0
potato,Zaid,99,16.1,87.6
cauliflower,Rabi,15,11.4,86.9
chilli,Zaid,20,14.2,74.8
wheat,Zaid,232,21.2,81.6
mango,Zaid,16,8.5,67.0
apple,Kharif,160,24.2,62.5
cabbage,Kharif,23,10.4,81.5
cabbage,Rabi,21,24.1,84.2
sugarcane,Zaid,4,14.7,86.3
onion,Rabi,170,20.8,76.4
banana,Zaid,7,11.3,74.8
cotton,Zaid,289,24.9,62.6
cotton,Kharif,416,23.3,74.3
sugarcane,Zaid,3,18.5,73.2
cabbage,Zaid,24,24.3,64.0
cotton,Kharif,254,11.7,62.0
soybean,Kharif,91,12.3,81.0
groundnut,Kharif,162,15.9,73.2
cotton,Kharif,264,22.5,80.9
tomato,Rabi,11,16.7,66.9
onion,Rabi,136,14.9,88.9
chilli,Kharif,35,13.1,75.0
mango,Zaid,9,16.6,57.4
cabbage,Kharif,17,17.0,87.0
apple,Kharif,80,12.1,85.3
mango,Zaid,15,18.8,68.6
apple,Zaid,125,16.5,60.7
maize,Zaid,124,23.2,85.2
mango,Zaid,9,10.2,55.8
onion,Zaid,80,16.8,57.0
cauliflower,Rabi,23,22.5,59.2
cotton,Rabi,432,11.9,63.7
brinjal,Kharif,10,18.5,77.8
wheat,Rabi,208,22.1,64.1
soybean,Zaid,171,19.1,82.7
onion,Kharif,142,10.1,69.7
pulses,Rabi,183,13.6,71.9
brinjal,Zaid,15,13.6,61.3
orange,Zaid,48,16.0,67.7
onion,Rabi,150,12.4,75.0
brinjal,Kharif,14,16.9,56.4
onion,Zaid,84,12.9,57.7
potato,Kharif,102,23.9,62.0
mango,Zaid,21,11.5,75.6
potato,Kharif,87,17.4,85.4
potato,Rabi,59,11.3,87.3
grapes,Kharif,11,22.6,70.7
grapes,Rabi,8,21.4,85.4
pulses,Zaid,254,9.3,84.6
orange,Zaid,39,11.8,60.8
potato,Rabi,77,15.8,74.4
mango,Zaid,20,20.9,75.2
groundnut,Zaid,196,9.4,57.2
cotton,Kharif,343,23.8,60.3
banana,Zaid,7,20.8,89.1
groundnut,Zaid,173,15.5,58.8
potato,Rabi,116,24.2,64.8
cotton,Rabi,373,20.0,56.4
mango,Zaid,11,18.3,64.2
cabbage,Zaid,21,11.7,88.5
wheat,Zaid,306,10.4,83.7
apple,Zaid,104,10.1,73.1
onion,Rabi,124,18.0,60.9
tomato,Rabi,12,9.7,83.5
sugarcane,Rabi,4,9.1,86.8
onion,Rabi,108,22.7,76.7
wheat,Kharif,295,24.3,69.0
tomato,Kharif,8,10.8,89.1
rice,Rabi,214,15.6,81.0
cauliflower,Zaid,11,14.1,86.5
brinjal,Rabi,18,15.9,68.7
onion,Zaid,154,24.5,70.8
onion,Rabi,128,10.8,65.2
cabbage,Rabi,15,9.6,84.3
mango,Zaid,18,20.0,82.1
potato,Rabi,68,12.7,73.7
tomato,Rabi,5,14.5,65.4
pulses,Kharif,151,10.0,83.2
cotton,Rabi,370,22.2,62.0
rice,Zaid,136,12.2,60.0
mango,Zaid,21,21.3,86.7
banana,Zaid,7,24.4,89.1
chilli,Zaid,18,17.5,68.9
pulses,Zaid,249,22.6,68.7
grapes,Zaid,8,19.6,55.6
banana,Rabi,7,19.6,66.2
pulses,Rabi,245,21.8,65.1
cabbage,Zaid,25,9.9,67.5
sugarcane,Zaid,4,22.5,59.2
sugarcane,Zaid,3,13.9,61.3
pulses,Rabi,315,20.4,66.1
onion,Rabi,122,8.5,67.2
mango,Zaid,16,20.4,59.5
potato,Rabi,92,19.3,73.3
sugarcane,Kharif,5,13.2,82.0
banana,Zaid,7,23.4,83.9
mango,Zaid,17,9.9,58.5
apple,Kharif,114,25.0,72.9
onion,Kharif,145,22.8,83.9
apple,Kharif,146,18.5,84.8
tomato,Zaid,10,14.3,83.3
onion,Zaid,143,21.4,63.6
cabbage,Rabi,28,21.9,85.8
maize,Rabi,169,24.9,71.1
banana,Zaid,7,18.9,80.4
groundnut,Kharif,175,9.8,63.9
wheat,Kharif,187,19.4,77.5
banana,Kharif,7,17.5,56.8
maize,Kharif,213,17.5,58.2
soybean,Zaid,79,9.4,89.5
groundnut,Zaid,102,15.8,83.9
groundnut,Kharif,213,13.8,62.9
rice,Zaid,259,10.5,74.0
soybean,Rabi,112,17.3,67.7
grapes,Zaid,16,19.6,80.6
sugarcane,Kharif,2,19.9,57.6
cauliflower,Zaid,14,11.7,64.9
potato,Rabi,92,10.0,81.5
cauliflower,Kharif,20,10.0,60.3
sugarcane,Kharif,6,8.2,58.8
sugarcane,Zaid,2,19.1,76.0
cauliflower,Rabi,22,21.1,89.5
maize,Kharif,156,22.5,55.3
cotton,Rabi,400,20.2,64.0
potato,Zaid,88,8.1,63.2
potato,Rabi,94,12.1,64.9
sugarcane,Zaid,6,8.7,75.3
sugarcane,Rabi,3,14.6,74.4
pulses,Zaid,236,18.7,59.2
potato,Kharif,84,9.2,72.5
wheat,Zaid,258,8.8,75.8
grapes,Zaid,19,18.6,75.4
cauliflower,Rabi,19,8.9,67.3
onion,Kharif,94,18.7,71.7
rice,Kharif,180,24.1,82.3
soybean,Zaid,165,16.3,79.8
apple,Rabi,92,19.8,85.3
potato,Zaid,89,11.7,55.7
mango,Zaid,23,20.6,84.7
apple,Rabi,123,22.3,68.5
potato,Zaid,87,24.5,67.0
maize,Zaid,131,19.7,82.4
soybean,Kharif,131,16.0,80.7
cabbage,Zaid,14,21.3,70.5
pulses,Kharif,230,16.4,61.9
onion,Rabi,128,23.7,78.3
cauliflower,Kharif,8,22.4,82.6
orange,Zaid,27,19.2,67.3
potato,Rabi,77,9.5,72.4
groundnut,Kharif,183,14.4,59.6
cauliflower,Kharif,22,24.0,83.8
soybean,Zaid,170,16.1,70.3
soybean,Zaid,133,15.2,64.2
apple,Kharif,159,24.3,82.1
wheat,Zaid,311,11.9,70.1
soybean,Rabi,102,22.7,81.6
banana,Rabi,7,8.4,82.3
potato,Zaid,58,13.3,82.9
cabbage,Zaid,18,21.9,82.9
cauliflower,Zaid,21,13.3,72.4
maize,Rabi,216,23.9,89.8
chilli,Zaid,23,9.7,83.6
onion,Zaid,95,21.4,79.0
brinjal,Rabi,12,9.5,73.6
grapes,Zaid,19,21.4,73.8
wheat,Kharif,224,20.9,64.7
cotton,Rabi,488,18.2,60.4
onion,Rabi,128,8.6,68.0
pulses,Zaid,288,16.0,59.1
groundnut,Zaid,195,22.1,69.0
sugarcane,Rabi,3,18.6,74.4
brinjal,Kharif,11,24.9,59.1
apple,Zaid,115,13.9,56.4
pulses,Kharif,227,12.9,74.1
soybean,Kharif,151,17.3,82.2
maize,Zaid,173,14.9,89.3
soybean,Zaid,153,10.3,74.6
cotton,Rabi,398,24.7,89.3
cauliflower,Zaid,10,13.2,80.9
rice,Zaid,136,12.4,67.7
mango,Zaid,18,19.3,88.1
potato,Zaid,60,16.2,58.3
rice,Rabi,276,15.3,57.4
cauliflower,Zaid,20,19.3,60.7
tomato,Zaid,10,23.6,67.4
apple,Zaid,107,13.4,78.7
cotton,Kharif,368,23.9,72.7
brinjal,Zaid,17,19.7,82.2
rice,Rabi,258,16.4,80.5
banana,Kharif,7,18.8,81.8
onion,Zaid,81,22.8,85.6
maize,Rabi,231,12.5,61.7
cauliflower,Zaid,10,8.8,80.7
orange,Zaid,33,20.5,58.4
banana,Rabi,7,10.0,78.7
brinjal,Kharif,10,10.0,84.2
chilli,Zaid,34,18.5,88.4
grapes,Zaid,15,8.4,58.6
soybean,Kharif,158,18.3,85.8
brinjal,Zaid,9,20.7,83.5
pulses,Zaid,264,11.9,87.1
banana,Rabi,7,15.2,77.5
rice,Kharif,184,17.4,75.1
potato,Rabi,60,11.4,76.6
maize,Rabi,238,23.5,87.1
cabbage,Zaid,18,19.2,84.0
wheat,Zaid,167,12.3,70.1
banana,Zaid,7,9.1,82.0
groundnut,Kharif,164,18.9,66.4
cabbage,Kharif,14,20.3,67.5
banana,Rabi,7,8.7,69.5
sugarcane,Zaid,4,21.4,65.8
apple,Zaid,101,22.1,64.7
apple,Zaid,148,21.3,61.9
grapes,Rabi,8,24.3,72.7
banana,Kharif,7,21.8,86.9
cabbage,Zaid,12,20.1,72.1
mango,Zaid,20,11.8,84.4
onion,Kharif,86,17.9,66.2
pulses,Rabi,256,12.2,68.6
tomato,Zaid,8,17.9,69.6
soybean,Zaid,119,16.7,56.6
grapes,Rabi,15,20.4,87.6
apple,Kharif,79,14.9,89.8
cauliflower,Kharif,8,13.3,76.8
banana,Zaid,7,14.4,85.4
mango,Zaid,14,25.0,64.9
maize,Rabi,235,10.8,62.6
rice,Rabi,166,20.8,66.9
onion,Rabi,92,18.6,70.8
soybean,Rabi,146,15.4,82.2
tomato,Kharif,10,17.7,61.1
cabbage,Rabi,25,11.2,60.2
cauliflower,Rabi,20,10.5,68.0
chilli,Rabi,33,24.4,73.4
cotton,Zaid,557,15.7,87.5
mango,Zaid,12,10.5,69.1
mango,Zaid,12,15.7,68.9
maize,Zaid,198,20.8,59.5
rice,Rabi,265,19.1,71.9
mango,Zaid,23,22.9,56.4
cotton,Kharif,474,20.1,89.1
pulses,Rabi,233,12.3,55.6
maize,Kharif,144,14.5,78.8
maize,Kharif,160,11.6,88.9
orange,Kharif,63,10.7,81.9
rice,Zaid,223,20.9,83.3
potato,Zaid,109,15.9,88.8
grapes,Rabi,12,12.2,68.1
mango,Zaid,15,20.5,63.4
apple,Rabi,82,14.7,88.1
chilli,Rabi,37,14.7,55.1
maize,Kharif,107,16.3,81.7
chilli,Zaid,38,23.7,59.2
onion,Zaid,92,14.9,61.4
sugarcane,Zaid,4,8.2,61.5
groundnut,Rabi,117,18.8,55.2
cotton,Kharif,249,15.9,71.3
grapes,Kharif,16,20.1,62.3
cauliflower,Kharif,14,23.4,60.8
cauliflower,Rabi,10,23.3,76.7
apple,Kharif,103,13.1,56.4
mango,Zaid,16,16.6,78.1
rice,Kharif,161,17.9,82.1
tomato,Kharif,5,17.1,63.1
orange,Kharif,28,15.7,55.9
cabbage,Kharif,24,22.3,63.5
rice,Kharif,184,10.1,70.3
apple,Zaid,164,13.2,62.5
pulses,Zaid,260,17.7,71.6
pulses,Zaid,324,11.1,61.6
rice,Zaid,202,9.4,88.7
cotton,Rabi,599,22.7,67.3
tomato,Kharif,4,8.3,59.1
banana,Kharif,7,10.8,73.8
sugarcane,Rabi,5,14.9,65.5
mango,Zaid,8,18.3,83.4
apple,Rabi,102,8.4,78.5
pulses,Zaid,252,9.4,66.3
cauliflower,Rabi,10,23.2,87.1
pulses,Zaid,249,11.5,76.1
cotton,Zaid,275,10.3,57.4
brinjal,Rabi,19,8.6,67.4
cabbage,Zaid,28,24.8,66.2
grapes,Rabi,7,9.0,70.4
brinjal,Kharif,17,20.1,80.0
maize,Rabi,225,18.3,72.1
grapes,Kharif,17,18.2,77.3
cabbage,Rabi,28,15.4,57.4
mango,Zaid,16,19.7,87.7
tomato,Zaid,11,21.6,81.1
groundnut,Rabi,213,24.2,64.2
chilli,Rabi,37,22.2,80.9
brinjal,Zaid,15,20.9,67.3
orange,Kharif,37,10.9,74.1
banana,Rabi,7,14.0,88.4
groundnut,Kharif,151,23.1,63.3
mango,Zaid,15,13.5,79.1
groundnut,Rabi,114,11.3,70.5
onion,Kharif,145,11.9,62.5
cabbage,Kharif,12,11.6,81.3
chilli,Zaid,19,9.2,87.8
sugarcane,Kharif,6,14.6,86.5
cabbage,Rabi,18,13.0,77.1
banana,Zaid,7,23.8,73.7
banana,Zaid,7,21.4,63.9
sugarcane,Kharif,6,18.0,84.9
onion,Zaid,151,21.0,76.9
cabbage,Rabi,27,18.2,83.5
groundnut,Kharif,191,12.8,64.1
pulses,Zaid,298,11.5,62.0
grapes,Kharif,6,17.9,56.2
cauliflower,Zaid,16,23.6,56.0
cabbage,Zaid,21,21.5,63.8
banana,Kharif,7,16.1,73.2
grapes,Rabi,7,14.7,56.4
apple,Kharif,50,19.5,88.2
rice,Kharif,143,20.9,78.7
pulses,Zaid,159,10.6,83.4
onion,Zaid,140,23.8,61.6
apple,Rabi,152,17.0,66.8
banana,Rabi,7,19.4,71.6
maize,Zaid,136,13.9,87.5
pulses,Zaid,309,19.1,77.8
grapes,Kharif,18,8.8,77.9
banana,Kharif,7,8.6,62.9
potato,Kharif,52,20.7,57.5
chilli,Rabi,33,11.1,70.0
banana,Zaid,7,23.8,74.0
mango,Zaid,14,9.0,62.9
onion,Kharif,133,10.0,70.5
pulses,Rabi,353,20.6,61.5
sugarcane,Rabi,5,9.3,69.9
cotton,Kharif,250,14.4,80.1
orange,Rabi,85,17.3,56.6
soybean,Rabi,168,23.9,67.6
wheat,Zaid,302,13.8,76.5
pulses,Zaid,240,19.8,62.4
maize,Kharif,195,11.8,81.2
groundnut,Zaid,200,20.1,67.2
chilli,Zaid,33,16.4,86.4
grapes,Zaid,5,12.9,61.9
cotton,Zaid,337,24.9,81.0
mango,Zaid,8,21.9,68.5
groundnut,Zaid,185,17.0,60.0
chilli,Rabi,40,12.9,74.3
sugarcane,Zaid,4,14.3,84.2
tomato,Zaid,5,9.8,71.9
cauliflower,Kharif,16,19.5,76.3
cabbage,Kharif,15,21.1,79.3
mango,Zaid,17,8.7,82.0
banana,Kharif,7,17.1,60.2
potato,Zaid,71,14.7,69.4
banana,Kharif,7,24.1,55.7
potato,Kharif,91,18.6,65.6
chilli,Kharif,35,13.5,88.9
banana,Kharif,7,16.0,65.4
chilli,Rabi,34,17.5,81.1
pulses,Kharif,306,19.4,57.2
cotton,Rabi,476,13.1,76.8
apple,Rabi,115,12.6,66.1
apple,Zaid,140,10.1,70.8
apple,Rabi,179,16.6,78.4
cauliflower,Kharif,13,14.4,59.6
soybean,Zaid,91,15.4,89.6
sugarcane,Rabi,3,12.0,57.2
sugarcane,Zaid,2,8.7,60.5
groundnut,Rabi,192,11.7,75.8
apple,Rabi,127,14.4,76.8
tomato,Rabi,11,19.9,86.9
apple,Kharif,158,12.2,57.2
apple,Zaid,63,11.9,85.1
groundnut,Zaid,150,23.2,89.7
wheat,Zaid,245,18.0,76.3
brinjal,Zaid,18,17.6,61.5
wheat,Kharif,274,21.0,77.6
mango,Zaid,14,10.4,66.2
cauliflower,Zaid,23,14.7,69.4
banana,Rabi,7,24.2,77.7
grapes,Zaid,19,14.0,74.7
rice,Rabi,169,20.5,71.9
